From	To
P62805	H4-16
P62805	H4C1
P62805	H4C11
P62805	H4C12
P62805	H4C13
P62805	H4C14
P62805	H4C15
P62805	H4C2
P62805	H4C3
P62805	H4C4
P62805	H4C5
P62805	H4C6
P62805	H4C8
P62805	H4C9
P00540	MOS
Q16352	INA
P08670	VIM
P06576	ATP5F1B
P22314	UBA1
P16401	H1-5
P46821	MAP1B
Q16555	DPYSL2
P25705	ATP5F1A
P49327	FASN
Q13509	TUBB3
P29762	CRABP1
P12277	CKB
Q14195	DPYSL3
P11021	HSPA5
P61604	HSPE1
Q14194	CRMP1
Q14204	DYNC1H1
P06748	NPM1
P40926	MDH2
P21333	FLNA
P52272	HNRNPM
P07197	NEFM
P14625	HSP90B1
Q13813	SPTAN1
P07602	PSAP
P06733	ENO1
O43175	PHGDH
P60174	TPI1
P78527	PRKDC
P13591	NCAM1
P62826	RAN
Q01082	SPTBN1
P07196	NEFL
P07195	LDHB
P30101	PDIA3
P45880	VDAC2
P68431	H3C1
P68431	H3C10
P68431	H3C11
P68431	H3C12
P68431	H3C2
P68431	H3C3
P68431	H3C4
P68431	H3C6
P68431	H3C7
P68431	H3C8
Q9BPU6	DPYSL5
P11137	MAP2
P09936	UCHL1
P02768	ALB
P32119	PRDX2
P22626	HNRNPA2B1
P35579	MYH9
P48735	IDH2
P23396	RPS3
P07910	HNRNPC
P13639	EEF2
P09455	RBP1
P07737	PFN1
P50454	SERPINH1
P08238	HSP90AB1
P19338	NCL
P14618	PKM
O43602	DCX
P34897	SHMT2
P19367	HK1
Q06830	PRDX1
P12956	XRCC6
Q00610	CLTC
P62937	PPIA
P00558	PGK1
P63104	YWHAZ
Q00839	HNRNPU
P00505	GOT2
P63244	RACK1
P23526	AHCY
P23284	PPIB
P46781	RPS9
P30044	PRDX5
P14174	MIF
Q9BPW8	NIPSNAP1
P35580	MYH10
P09211	GSTP1
P09874	PARP1
Q14697	GANAB
P07237	P4HB
O14531	DPYSL4
Q71DI3	H3C13
Q71DI3	H3C14
Q71DI3	H3C15
P62258	YWHAE
P20700	LMNB1
P13010	XRCC5
P07900	HSP90AA1
P62249	RPS16
P21796	VDAC1
Q07955	SRSF1
P04075	ALDOA
Q13263	TRIM28
Q14019	COTL1
P04350	TUBB4A
P27797	CALR
P42704	LRPPRC
O75390	CS
P11142	HSPA8
P29401	TKT
P31150	GDI1
P50991	CCT4
P51149	RAB7A
P30086	PEBP1
Q99798	ACO2
P30048	PRDX3
Q14974	KPNB1
Q99536	VAT1
Q99623	PHB2
P55072	VCP
Q16658	FSCN1
Q15084	PDIA6
Q08211	DHX9
P05091	ALDH2
Q9Y617	PSAT1
P08133	ANXA6
P08758	ANXA5
P27348	YWHAQ
P62244	RPS15A
Q86VP6	CAND1
P62424	RPL7A
Q00325	SLC25A3
O75369	FLNB
P31939	ATIC
Q9NZI8	IGF2BP1
P18124	RPL7
P55060	CSE1L
P49419	ALDH7A1
P13667	PDIA4
P48681	NES
P07339	CTSD
Q07065	CKAP4
Q02878	RPL6
P30041	PRDX6
P53396	ACLY
P52209	PGD
Q07020	RPL18
Q15717	ELAVL1
P50395	GDI2
Q9BVA1	TUBB2B
P14866	HNRNPL
P34932	HSPA4
O75874	IDH1
P07437	TUBB
P62269	RPS18
Q15365	PCBP1
P46459	NSF
P62241	RPS8
P35232	PHB
Q9Y4L1	HYOU1
Q12905	ILF2
P08865	RPSA
P48047	ATP5PO
P15880	RPS2
P62277	RPS13
P38606	ATP6V1A
P16949	STMN1
P11177	PDHB
P10809	HSPD1
P61764	STXBP1
P18206	VCL
P83731	RPL24
Q99497	PARK7
P23528	CFL1
O75367	MACROH2A1
P49411	TUFM
P62851	RPS25
Q92841	DDX17
P13637	ATP1A3
P07954	FH
P09651	HNRNPA1
P17844	DDX5
Q16629	SRSF7
Q8IV08	PLD3
P62701	RPS4X
P62873	GNB1
P38919	EIF4A3
P22234	PAICS
P55209	NAP1L1
P99999	CYCS
Q9NPH2	ISYNA1
P55786	NPEPPS
Q15181	PPA1
Q14315	FLNC
P40939	HADHA
O95865	DDAH2
P61353	RPL27
P18669	PGAM1
O75947	ATP5PD
Q01469	FABP5
Q9Y277	VDAC3
P60842	EIF4A1
P29966	MARCKS
P09104	ENO2
Q9NQC3	RTN4
P49591	SARS1
Q96AE4	FUBP1
Q13561	DCTN2
P41250	GARS1
O14980	XPO1
P84243	H3-3A
P84243	H3-3B
O43852	CALU
Q99729	HNRNPAB
O43390	HNRNPR
P39656	DDOST
P46783	RPS10
P06744	GPI
Q99714	HSD17B10
P11586	MTHFD1
O60701	UGDH
P31942	HNRNPH3
P26599	PTBP1
Q15417	CNN3
P40925	MDH1
P09471	GNAO1
P35268	RPL22
P49321	NASP
P26373	RPL13
P80723	BASP1
P05026	ATP1B1
Q02952	AKAP12
O00410	IPO5
P46782	RPS5
P42167	TMPO
Q9UQ80	PA2G4
Q07666	KHDRBS1
Q12931	TRAP1
P05387	RPLP2
P62829	RPL23
Q15393	SF3B3
Q9H9B4	SFXN1
P05783	KRT18
P00441	SOD1
Q9Y3U8	RPL36
O75531	BANF1
Q6P2Q9	PRPF8
P14314	PRKCSH
P33993	MCM7
P04844	RPN2
P38117	ETFB
P10636	MAPT
P17987	TCP1
P11216	PYGB
P07858	CTSB
P54577	YARS1
P18085	ARF4
P24752	ACAT1
Q13838	DDX39B
P31930	UQCRC1
Q13162	PRDX4
P08195	SLC3A2
P10515	DLAT
P30153	PPP2R1A
P05787	KRT8
P60880	SNAP25
Q96KP4	CNDP2
P12004	PCNA
Q8N158	GPC2
P37268	FDFT1
O00299	CLIC1
P46778	RPL21
P60981	DSTN
P62081	RPS7
P32969	RPL9
P32969	RPL9P7
P32969	RPL9P8
P32969	RPL9P9
P49773	HINT1
O43143	DHX15
Q7KZF4	SND1
P23368	ME2
P54886	ALDH18A1
P28331	NDUFS1
P78347	GTF2I
O00154	ACOT7
Q99873	PRMT1
P22695	UQCRC2
Q9UJS0	SLC25A13
P63010	AP2B1
P17174	GOT1
Q9BWD1	ACAT2
Q16891	IMMT
Q9Y265	RUVBL1
Q96QK1	VPS35
P48643	CCT5
P60660	MYL6
O94826	TOMM70
P26641	EEF1G
P09622	DLD
P47756	CAPZB
O75643	SNRNP200
O60282	KIF5C
P68104	EEF1A1
P02787	TF
O60313	OPA1
Q15293	RCN1
P62280	RPS11
P61158	ACTR3
P05455	SSB
Q96AY3	FKBP10
O95782	AP2A1
P27816	MAP4
O15075	DCLK1
P30084	ECHS1
Q15149	PLEC
P56134	ATP5MF
P36542	ATP5F1C
P04181	OAT
P12814	ACTN1
P25205	MCM3
Q9Y6C9	MTCH2
P53621	COPA
P52597	HNRNPF
P55084	HADHB
Q92598	HSPH1
Q9UIJ7	AK3
Q04837	SSBP1
Q15691	MAPRE1
P14868	DARS1
Q15366	PCBP2
P49588	AARS1
P26639	TARS1
P53618	COPB1
P21281	ATP6V1B2
P35222	CTNNB1
Q15287	RNPS1
O43854	EDIL3
P04040	CAT
Q9P2R7	SUCLA2
P12268	IMPDH2
Q04760	GLO1
P33991	MCM4
Q03252	LMNB2
P29373	CRABP2
Q9UI15	TAGLN3
Q9NSD9	FARSB
P00352	ALDH1A1
P08237	PFKM
P33992	MCM5
Q07954	LRP1
Q9P0M6	MACROH2A2
P25398	RPS12
P05386	RPLP1
P43034	PAFAH1B1
P08574	CYC1
Q92945	KHSRP
O43707	ACTN4
P05141	SLC25A5
Q9Y490	TLN1
P62316	SNRPD2
O43776	NARS1
Q9Y5B9	SUPT16H
P02751	FN1
P05556	ITGB1
P00338	LDHA
P31946	YWHAB
P60866	RPS20
P07305	H1-0
Q02978	SLC25A11
O76070	SNCG
Q9UHG3	PCYOX1
P49736	MCM2
P25789	PSMA4
P13489	RNH1
P14550	AKR1A1
P13804	ETFA
P23921	RRM1
O14979	HNRNPDL
P78344	EIF4G2
P62750	RPL23A
Q14203	DCTN1
P07355	ANXA2
P78310	CXADR
P46777	RPL5
Q93050	ATP6V0A1
Q00688	FKBP3
P10599	TXN
Q15029	EFTUD2
P54727	RAD23B
Q01581	HMGCS1
Q9NR30	DDX21
P30040	ERP29
P22087	FBL
P00568	AK1
Q9NUJ1	ABHD10
P08559	PDHA1
Q13011	ECH1
Q9Y230	RUVBL2
Q86V81	ALYREF
Q9Y6M1	IGF2BP2
P62847	RPS24
Q13885	TUBB2A
P39019	RPS19
Q8TB36	GDAP1
P30837	ALDH1B1
Q9UKM9	RALY
Q12906	ILF3
P00387	CYB5R3
Q04917	YWHAH
P18621	RPL17
Q07021	C1QBP
Q15582	TGFBI
Q08945	SSRP1
P37108	SRP14
P63279	UBE2I
P32004	L1CAM
P53999	SUB1
P05023	ATP1A1
O75489	NDUFS3
P26038	MSN
P37837	TALDO1
Q9Y3I0	RTCB
Q15274	QPRT
P38159	RBMX
P53634	CTSC
P22102	GART
P09429	HMGB1
Q9H9Z2	LIN28A
P11166	SLC2A1
Q12765	SCRN1
Q7L099	RUFY3
Q13242	SRSF9
Q14566	MCM6
P62314	SNRPD1
Q05639	EEF1A2
P54819	AK2
P62899	RPL31
Q12860	CNTN1
Q99460	PSMD1
P25786	PSMA1
P62879	GNB2
P35611	ADD1
P23381	WARS1
P62888	RPL30
Q16836	HADH
O75347	TBCA
O94973	AP2A2
P35613	BSG
Q16795	NDUFA9
P80404	ABAT
Q9P2J5	LARS1
P10768	ESD
P62318	SNRPD3
P16435	POR
Q9Y696	CLIC4
P10606	COX5B
P27708	CAD
P49821	NDUFV1
P17677	GAP43
P35637	FUS
Q9Y512	SAMM50
P51659	HSD17B4
P20618	PSMB1
Q9UJZ1	STOML2
P11766	ADH5
P20674	COX5A
P61421	ATP6V0D1
Q9Y4I1	MYO5A
O00567	NOP56
P60900	PSMA6
P18077	RPL35A
P18859	ATP5PF
Q1KMD3	HNRNPUL2
P26640	VARS1
P12235	SLC25A4
Q99829	CPNE1
P49915	GMPS
P20020	ATP2B1
P78371	CCT2
P15586	GNS
O95202	LETM1
Q6NUK1	SLC25A24
P62917	RPL8
Q92522	H1-10
Q14011	CIRBP
Q13423	NNT
P11387	TOP1
Q8NBS9	TXNDC5
P22061	PCMT1
Q99439	CNN2
P17812	CTPS1
O14818	PSMA7
P59768	GNG2
P22570	FDXR
P26583	HMGB2
Q6PCE3	PGM2L1
Q2M3V2	SOWAHA
P11388	TOP2A
P36776	LONP1
P26232	CTNNA2
Q9Y6E2	BZW2
P39023	RPL3
Q02543	RPL18A
Q9P258	RCC2
P12532	CKMT1A
P12532	CKMT1B
P04899	GNAI2
O00232	PSMD12
P50914	RPL14
P28066	PSMA5
Q5SQI0	ATAT1
O00571	DDX3X
P52292	KPNA2
P68371	TUBB4B
P42126	ECI1
P62906	RPL10A
O00425	IGF2BP3
O00264	PGRMC1
P27635	RPL10
O95336	PGLS
Q9P2E9	RRBP1
Q16643	DBN1
P62263	RPS14
Q15102	PAFAH1B3
P52907	CAPZA1
P08708	RPS17
P31323	PRKAR2B
P49207	RPL34
P15531	NME1
Q9ULV4	CORO1C
O00151	PDLIM1
O75306	NDUFS2
P35606	COPB2
P52701	MSH6
Q9Y224	RTRAF
P16615	ATP2A2
Q14980	NUMA1
P48449	LSS
P25787	PSMA2
P13073	COX4I1
O75475	PSIP1
P49748	ACADVL
Q7L1Q6	BZW1
P62195	PSMC5
O43809	NUDT21
Q16698	DECR1
P35221	CTNNA1
P62857	RPS28
Q00059	TFAM
P29692	EEF1D
P08243	ASNS
Q7Z7K6	CENPV
P62910	RPL32
P46060	RANGAP1
O76021	RSL1D1
P62995	TRA2B
P26368	U2AF2
P04843	RPN1
Q9Y2X3	NOP58
P39748	FEN1
O95831	AIFM1
P31040	SDHA
P52788	SMS
Q92616	GCN1
P15121	AKR1B1
P54687	BCAT1
P60228	EIF3E
P10253	GAA
O15347	HMGB3
P31943	HNRNPH1
P30050	RPL12
P13861	PRKAR2A
Q16799	RTN1
O60502	OGA
P02649	APOE
P51858	HDGF
Q9Y285	FARSA
P07686	HEXB
O15240	VGF
P62304	SNRPE
P63220	RPS21
Q13867	BLMH
Q92900	UPF1
P53597	SUCLG1
Q9NSE4	IARS2
P04083	ANXA1
Q9UN86	G3BP2
Q92896	GLG1
P08621	SNRNP70
Q7L014	DDX46
P25788	PSMA3
P21266	GSTM3
O43615	TIMM44
Q99715	COL12A1
P17480	UBTF
P36543	ATP6V1E1
Q8N1F7	NUP93
O60506	SYNCRIP
Q9HB71	CACYBP
Q92769	HDAC2
P17980	PSMC3
P35998	PSMC2
P09543	CNP
